!date	u10	v10	airp	airt	rhum	cloud	swr	precip
2006-01-01 00:00:00	0.4843	-0.3175	100300	5.858	78.46	0.7329	29.23	1.371e-09
2006-01-02 00:00:00	-3.364	1.742	98240	7.121	93.74	1	8.028	2.838e-07
2006-01-03 00:00:00	0.9099	1.05	97640	7.623	90.78	0.7706	27.72	5.001e-08
2006-01-04 00:00:00	-1.904	0.4659	97140	6.233	96.38	1	13.09	6.87e-08
2006-01-05 00:00:00	1.71	1.003	97350	7.039	88.92	1	12.47	1.333e-07
2006-01-06 00:00:00	0.8544	2.351	97710	5.863	85.25	0.7655	29.29	4.851e-08
2006-01-07 00:00:00	3.612	2.902	98860	6.602	80.08	1	14.23	3.738e-08
2006-01-08 00:00:00	1.627	-0.2698	98550	7.725	88.85	1	10.62	2.222e-07
2006-01-09 00:00:00	2.058	-0.492	100800	3.139	77.95	0.7895	29.72	1.849e-09
2006-01-10 00:00:00	5.048	3.195	101200	6.991	81.33	0.9792	18.8	4.983e-09
2006-01-11 00:00:00	5.655	5.084	101000	9.338	83.49	0.8759	25.12	0
2006-01-12 00:00:00	4.394	5.547	100700	11.02	88.4	1	12.05	4.408e-09
2006-01-13 00:00:00	6.463	0.4612	100400	7.982	80.08	0.8694	26.53	8.073e-08
2006-01-14 00:00:00	5.01	-0.5521	101800	5.379	75.23	0.986	19.77	1.394e-08
2006-01-15 00:00:00	1.047	3.591	101800	6.598	85.86	0.9141	24.67	4.66e-08
2006-01-16 00:00:00	2.461	5.443	100800	10.2	87.41	1	17.22	3.793e-09
2006-01-17 00:00:00	3.261	7.517	99860	11.43	88.34	1	12.05	1.149e-07
2006-01-18 00:00:00	1.72	-0.1971	99940	8.64	87.25	0.998	19.87	4.465e-08
2006-01-19 00:00:00	-0.9582	-3.385	100800	3.03	80.18	0.8147	33.48	0
2006-01-20 00:00:00	-0.178	-1.157	100700	1.352	84.29	0.6563	43.31	0
2006-01-21 00:00:00	1.689	0.8528	98880	3.031	77.34	0.7051	41.41	1.13e-08
2006-01-22 00:00:00	6.995	-0.6231	97290	3.559	79.42	0.9396	26.49	2.043e-07
2006-01-23 00:00:00	6.621	-5.291	98930	2.731	82.47	0.9755	24.19	5.58e-08
2006-01-24 00:00:00	0.3207	-1.241	100200	2.698	85.19	0.9877	23.61	2.623e-08
2006-01-25 00:00:00	3.09	1.884	100100	7.127	94.11	1	10.37	4.045e-07
2006-01-26 00:00:00	5.241	0.6825	99680	10.28	92.52	1	10.51	2.325e-07
2006-01-27 00:00:00	4.026	0.7294	99550	10.27	91.89	1	13.92	7.155e-08
2006-01-28 00:00:00	4.946	-1.558	99180	7.855	84.74	0.8214	38.48	3.306e-08
2006-01-29 00:00:00	-0.2054	-2.471	100600	4.119	82.3	0.7712	43.59	1.935e-09
2006-01-30 00:00:00	-0.8422	-0.4517	101200	3.086	78.54	0.7403	46.95	0
2006-01-31 00:00:00	-2.983	0.9598	101200	2.379	77.96	0.8317	41.08	0
2006-02-01 00:00:00	-3.106	1.056	101700	1.695	77.17	0.7112	51.26	0
2006-02-02 00:00:00	-2.999	1.747	102500	1.94	74.33	0.6781	54.71	0
2006-02-03 00:00:00	-1.798	1.468	102800	1.466	76.71	0.5669	63.02	0
2006-02-04 00:00:00	0.1973	-1.263	102300	1.219	78.97	0.802	48.6	0
2006-02-05 00:00:00	2.29	-1.613	101300	3.721	87.33	1	20.59	6.638e-08
2006-02-06 00:00:00	-0.9381	-2.993	100200	3.629	86.31	0.9011	40.78	7.837e-08
2006-02-07 00:00:00	-4.069	-0.6523	101000	-0.5576	74.72	0.5731	70.61	1.258e-08
2006-02-08 00:00:00	-5.266	-0.2821	101700	-0.9432	59.79	0.6045	70.45	0
2006-02-09 00:00:00	-6.722	0.3989	101600	-0.6323	49.99	0.8707	48.07	0
2006-02-10 00:00:00	-4.875	0.8212	101200	-0.481	54.15	0.965	38.14	0
2006-02-11 00:00:00	-1.693	1.71	100800	-0.1364	51.82	0.9737	37.91	0
2006-02-12 00:00:00	0.9639	0.2877	100200	0.7683	64.24	0.7776	60.83	0
2006-02-13 00:00:00	-0.9447	0.2412	100300	2.194	82.33	0.9837	37.53	0
2006-02-14 00:00:00	-4.714	2.64	99890	2.687	93.74	1	14.75	2.813e-07
2006-02-15 00:00:00	-3.547	3.598	1e+05	3.232	98.27	1	18.2	1.267e-07
2006-02-16 00:00:00	-3.305	6.394	99940	7.31	93.16	1	15.37	3.156e-07
2006-02-17 00:00:00	1.359	5.891	98800	9.093	86.72	0.7488	67.99	1.057e-07
2006-02-18 00:00:00	4.253	3.355	97190	6.481	77.05	0.7338	72.15	1.282e-07
2006-02-19 00:00:00	5.209	0.4855	96870	4.563	76.28	0.9284	50.13	7.432e-08
2006-02-20 00:00:00	3.142	0.06982	97460	3.633	77.2	1	35.23	2.684e-08
2006-02-21 00:00:00	3.117	-0.6211	98580	3.094	72.91	0.9924	42.92	2.429e-08
2006-02-22 00:00:00	2.812	0.6175	99020	4.174	73.94	0.8891	58.91	6.027e-08
2006-02-23 00:00:00	3.728	-0.8091	99380	3.539	72.43	0.9122	56.85	3.79e-08
2006-02-24 00:00:00	1.448	0.3318	1e+05	3.071	66.88	0.5967	97.38	1.656e-09
2006-02-25 00:00:00	-3.324	4.312	99210	4.447	83.56	1	25.9	2.056e-07
